eeschema (20100311 SVN-R2445)-RC5  >> Creation date: Fri 12 Mar 2010 11:31:16 AM EST

#Cmp ( order = Reference ) (with SubCmp)
| P11        CONN_10X2      (Sheet /)   (loc H5); PIN_ARRAY_10X2
| Q1         NPN            (Sheet /USB Interface/)   (loc B2);             
| Q2         NPN            (Sheet /USB Interface/)   (loc B3);             
| Q3         MOSFET_N       (Sheet /Power Supply/)   (loc C3);             
| Q4         NMOS           (Sheet /Power Supply/)   (loc A3);             
| R1         10k            (Sheet /)   (loc C1); SM0805      
| R2         10K            (Sheet /)   (loc B1); SM0805      
| R3         10K            (Sheet /)   (loc B1); SM0805      
| R4         47             (Sheet /)   (loc D1); SM0805      
| R5         0              (Sheet /)   (loc D2); SM0805      
| R6         390            (Sheet /)   (loc E1); SM0805      
| R7         10K            (Sheet /)   (loc D9); SM0805      
| R8         10K            (Sheet /)   (loc D9); SM0805      
| R9         10K            (Sheet /)   (loc D9); SM0805      
| R10        10K            (Sheet /)   (loc D9); SM0805      
| R11        10K            (Sheet /)   (loc D10); SM0805      
| R12        690?           (Sheet /)   (loc C9); SM0805      
| R13        690?           (Sheet /)   (loc C9); SM0805      
| R14        690?           (Sheet /)   (loc C9); SM0805      
| R15        690?           (Sheet /)   (loc C9); SM0805      
| R16        4.7k           (Sheet /)   (loc G6); SM0805      
| R17        2.6k           (Sheet /)   (loc G6); SM0805      
| R18        0              (Sheet /)   (loc G8); SM0805      
| R19        10K            (Sheet /)   (loc A9); SM0805      
| R20        ?              (Sheet /)   (loc G4); SM0805      
| R21        10K            (Sheet /)   (loc H4); SM0805      
| R22        10K            (Sheet /)   (loc H4); SM0805      
| R23        10K            (Sheet /)   (loc H4); SM0805      
| R24        47K            (Sheet /)   (loc E9); SM0805      
| R25        47K            (Sheet /)   (loc E9); SM0805      
| R26        0              (Sheet /)   (loc A10); SM0805      
| R27        0              (Sheet /)   (loc B8); SM0805      
| R28        0              (Sheet /)   (loc B10); SM0805      
| R29        0              (Sheet /)   (loc B10); SM0805      
| R30        0              (Sheet /)   (loc B10); SM0805      
