Board :MB525 all variants,,,Rev :B-02,,,,,,,,,,,,,
Designer name,Qing shao,,,,,,,,,,,,,,,

"applied ""automatic filter"" row 7, in column ""variant"" select (custom), chose equal=""base"" OR equal=""development"" as needed",,,,,,,,,,,,,,,,
"With only ""base"" you will have the MB525 BOM, with ""base"" OR ""development"" you will obtain the MB525/WS BOM",,,,,,,,,,,,,,,,

Part Number (ST or sub co),Quantity,"Description (fonction, value, ..)",Reference (topologic number),Version,Package,Manufacturer 1,Part#1,Manufacturer 2 second source,Part#2 Second source,Distributor,Order code,Fitted or not fitted,Supplied by (ST or Sub Co),ROHS Compliant,Comments,Variant
,2,JTAG,"CN7, CN10",,IDC20S,,IDC20S,,,,,,Sub Co,,,base
,4,KEY,"B1,B2,B3,B4",,PB10,,TD-0341X,WEALTH METAL FACTORY LTD,,,,,Sub Co,,,base
,1,MB525/PCB,,B,,,,,,,,,Sub Co,,,base
,2,MB542 connector,U17,,2*4P,OUPIIN (http://www.jve.com.tw/),2044-2X4G00SPA,,,,,,Sub Co,,,base
,1,MC_connector,CN14,,IDC34S,,IDC34S,,,,,,Sub Co,,,base
,1,Micro,U15,,KEC2740,KINGSTATE,KECG2740TBL,,,,,,Sub Co,,,base
,1,Micro amplifier,U14,,TSSOP8,MAXIM,MAX4061EUA+,,,,,,Sub Co,,,base
8000026,1,Micro SD card,CN15,,MSD,ST,SMS064FFF5E,,,,,,ST,,,base
9175720,1,PIRANHA,U1,CUT2,TQFP100,ST,STM32F103VBT6,,,,,,ST,,,base
,1,PJS008-2000,CN15,,MSD(PJS008),,PJS008-2000,,,,,,Sub Co,,,base
9127091,1,PolyZen Power protection,U6,,polyzen,Tyco electronics,ZEN056V130A24LS,,,,,,ST,,,base
,5,red,"LD1, LD2,LD3.LD4,LD5",,603,EVERLIGHT(www.everlight.com),19-215SDRC/S530-A2/TR8,,,,,,Sub Co,,,base
9172028,2,RS232 driver,"U9,U10",,TSSOP16,ST,ST3232ECTR,,,,,,ST,,,base
,8,SIP2,"JP3,JP5,JP6,JP7,JP8,JP9,JP10,JP12",,SIP2,,SIP2,,,,,,Sub Co,,,base
,3,SIP3,"JP1,JP2,JP11",,SIP3,,SIP3,,,,,,Sub Co,,,base
9184132,1,Socket,U1,,,YAMAICHI,IC149-100-025-B5,,,,,,ST,,,development
,1,Speaker,U12,,KS1508,KINGSTATE,KDMG15008-03,,,,,,Sub Co,,,base
9171908,1,SPI flash 8Mbytes,U3,,VDFPN8(8*6),ST,M25P64-VME6G,,,,,,ST,,,base
