Board :MB784 ,,PCB rev B,,,,,,,,,,,,,,
Designer name,Qing shao,,,,,,,,,,,,,,,


Part Number (ST or sub co),Quantity,"Description (fonction, value, ..)",Reference (topologic number),Version,Package,Manufacturer 1,Part#1,Manufacturer 2 second source,Part#2 Second source,Distributor,Order code,Fitted or not fitted,Supplied by (ST or Sub Co),ROHS Compliant,Comments,Variant
,12,,"JP2,  JP5, JP6, JP9,  JP15,  JP17, JP18, JP19 , JP20, JP21, JP22, JP26",,SIP2,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2211S-2G,,,,,,manley,lead free,,base
,5,,"SB1,SB2,SB3,SB4,SB5",,JP2_SMD,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",empty,,,,,,manley,lead free,,base
,1,,JP25,,2*3P,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2213S-6G,,,,,,manley,lead free,,base
,1,BEAD,L1,,603,ati-tech advanced electronics(s)pte ltd,fcm1608-0603,,,,,,manley,lead free,,base
,3,red,"LD3, LD5, LD7",,603,EVERLIGHT(www.everlight.com),19-21SDRC/S530-A2/TR8,,,,,,manley,lead free,,base
,2,Green,"LD1, LD6",,603,EVERLIGHT(www.everlight.com),19-21SYGC/S530-E1/TR8,,,,,,manley,lead free,,base
,1,Orange,LD2,,603,EVERLIGHT(www.everlight.com),19-217/S2C-AM2N2VY/3T,,,,,,manley,lead free,,base
,1,Blue,LD4,,603,EVERLIGHT(www.everlight.com),19-217/BHC-ZL1M2RY/3T,,,,,,manley,lead free,,base
,52,0,"R30, R35,  R36,  R38,  R41, R44, R45, R48, R49, R50, R51, R59, R68, R69, R78, R79,  R82, R83, R84, R85, R98, R99, R100, R101, R102, R103, R104, R105,  R129,R130, R131, R132, R135, R136, R137, R139, R140, R141, R142, R143, R144, R147, R154, R159, R161, R162, R163, R165,R166, R167, R168, R169",,603,www.passivecomponent.com,WR06000JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,1(1ге),R156,,603,www.fenghua-advanced.com,RS-03L1R0FT,,,,,,manley,lead free,"1/10W,1%",base
,1,5.1,R76,,603,www.passivecomponent.com,WR065R1JTL,,,,,,manley,lead free,"1/16W,5%",base
,6,51,"R72,R73,R77,R112,R113,R155",,603,www.passivecomponent.com,WR06510JTL,,,,,,manley,lead free,"1/16W,5%",base
,3,100ги120гй,"R80,R108,R109,R110,R111",,603,www.passivecomponent.com,WR06101JTL,,,,,,manley,lead free,"1/16W,5%",base
,2,120,"R52, R53",,603,www.passivecomponent.com,WR06121JTL,,,,,,manley,lead free,"1/16W,5%",base
,2,240,"R13,R14",,603,www.passivecomponent.com,WR06251JTL,,,,,,manley,lead free,"1/16W,5%",base
,5,330,"R39, R94, R116",,603,www.passivecomponent.com,WR06331JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,220,R63,,603,www.passivecomponent.com,WR06391JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,51,RS5,,RES4B,www.fenghua-advanced.com,RCML08W510JT,,,,,,manley,lead free,"1/16W,5%",base
,1,2K2,RS6,,RES4B,www.fenghua-advanced.com,RCML08W222JT,,,,,,manley,lead free,"1/16W,5%",base
,4,33,"RS1,RS2,RS3,RS4",,RES4B,www.fenghua-advanced.com,RCML08W330JT,,,,,,manley,lead free,"1/16W,5%",base
,4,680,"R95,R96,R97,R33",,603,www.passivecomponent.com,WR06681JTL,,,,,,manley,lead free,"1/16W,5%",base
,2,820,"R87,R88",,603,www.passivecomponent.com,WR06821JTL,,,,,,manley,lead free,"1/16W,5%",base
,2,1K(1ге),"R86, R157",,603,www.fenghua-advanced.com,RS-03K102FT,,,,,,manley,lead free,"1/10W,1%",base
,2,1K5,"R8, R148",,603,www.passivecomponent.com,WR06152JTL,,,,,,manley,lead free,"1/16W,5%",base
,4,2K2,"R1,R2,R6,R7",,603,www.passivecomponent.com,WR06222JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,3K3,R146,,603,www.passivecomponent.com,WR06332JTL,,,,,,manley,lead free,"1/16W,5%",base
,7,4K7,"R71, R114, R115, R133, R134, R138, R149",,603,www.passivecomponent.com,WR06472JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,4.87K(1ге),R31,,603,www.fenghua-advanced.com,RS-03K4K87FT,,,,,,manley,lead free,"1/10W,1%",base
,33,10K(1ге),"R3,R32, R37, R40, R46, R47, R56, R60, R61, R64, R65, R66, R67, R74, R89, R90, R91, R92, R93, R106, R107, R121, R122, R123, R124, R125, R126, R127, R128, R149, R150, R152,R153, R160, R164 ",,603,www.fenghua-advanced.com,RS-03K103FT,,,,,,manley,lead free,"1/10W,1%",base
,1,15K,R158,,603,www.fenghua-advanced.com,RS-03K153FT,,,,,,manley,lead free,"1/16W,5%",base
,1,20K(1ге),R151,,603,www.fenghua-advanced.com,RS-03K203FT,,,,,,manley,lead free,"1/10W,1%",base
,1,30K,R153,,603,www.fenghua-advanced.com,RS-03K303FT,,,,,,manley,lead free,"1/16W,5%",base
,3,47K,"R4,R34, R75",,603,www.passivecomponent.com,WR06473JTL,,,,,,manley,lead free,"1/16W,5%",base
,5,100K,"R57, R58, R70, R81, R145",,603,www.passivecomponent.com,WR06104JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,220K,R117,,603,www.passivecomponent.com,WR06224JTL,,,,,,manley,lead free,"1/16W,5%",base
,1,10K,RV1,,ADJRH,"XINCHANG ELECTRONICS Co,LTD (www.czxinchang.com)",WH9011-1,,,,,,manley,lead free,,base
,1,25MHZ,TP1,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,AUX2,TP2,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,AUX1,TP3,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,PTP_PPS,TP4,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,2V5,TP5,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,,TP6,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,,TP7,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,,TP8,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,3V3,TP10,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,5V,TP11,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,Ground,TP12,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,VREF,TP13,,TP,Shenzhen City CGG Industries Limited,TEST-1(Y),,,,,,manley,lead free,,base
,1,DP83848CVV,U1,,LQFP48,National,DP83848CVV,,,,,,manley,lead free,,base
,1,50MHZ,U2,,5*7,Epson,50MHZ,,,,,do not fit,,lead free,,base
,1,Analogue power switch,U3,,SOT23-5L,ST,TPS2041BDBV ,TI,,,,,Manley,lead free,Replace ST ref STMPS2141STR (9159003) until the limitation removed,base
9179037,1,ESD USB protection,U4,,flip ship,ST,EMIF02-USB03F2,,,,,,ST,lead free,,base
,2,SN65HVD230,"U5,U6",,SO8,TI,SN65HVD230,,,,,,manley,lead free,,base
9177945,2,STMPE811,"U7,U8",,QFN16,ST,STMPE811,,,,,,ST,lead free,,base
9175977,1,BARRACURA_256K,U9,Cut 1.1,TQFP100,ST,STM32F107VCT6 (marking Z),,,,"32F107VCT6$A2 or 32F107VCT6$U2 (any esle FG ""32F107VCT6$"" with ""2"" termination ",,ST,lead free,,base
9184132,1,Socket,U9,,TQFP100,YAMAICHI,IC149-100-025-B5,,,,,,manley,lead free,,development
9177802,1,ST8024CDR,U10,,SO28,ST,ST8024CDR,,,,,,ST,lead free,,base
9176312,1,ST3241EBPR ,U11,,SSOP28,ST,ST3241EBPR ,,,,,,ST,lead free,,base
,1,CS43L22,U13,,QFN40,CIRRUS,CS43L22,,,,,,manley,lead free,,base
9177944,1,LIS302DL,U16,,LGA14(3*5),ST,LIS302DL,,,,,,ST,lead free,,base
9175606,1,M24C64-WMN6,U17,,SO8,ST,M24C64-WMN6,,,,,,ST,lead free,,base
9176205,1,3.3V linear regulator,U19,,D2PAK/A,ST,LD1086D2M33TR,,,,,,ST,lead free,,base
,1,TFDU4300,U12,,IR_VISHAY3,VISHAY,TFDU4300,,,,,,manley,lead free,,base
,1,KSS-1508,U25,,KS1508,KINGSTATE (www.kingstate.com.tw),KSS1508,,,,,,manley,lead free,,base
,1,ZEN056V130A24LS,U18,,polyzen,TYCO,ZEN056V130A24LS,,,,,,manley,lead free,,base
,1,BNX002-01,U20,,BNX001,MURATA,BNX002-01,,,,,,manley,lead free,,base
,1,OPA,U21,,SOT-23-5L,MAXIM,MAX9938FEUK+,,,,,,manley,lead free,,base
9180127,1,74H1G66STR,U22,,SOT-23-5L,ST,74H1G66STR,,,,,,ST,lead free,,base
9169189,1,74LX1G04CTR,U23,,SOT-23-5L,ST,74LX1G04CTR,,,,,,ST,lead free,,base
