"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C49","0603C","1375mil","1550mil","1375mil","1550mil","1347.5mil","1550mil","T","180.00","1uF"
"C5","0603C","2475mil","5590mil","2475mil","5590mil","2475mil","5617.5mil","T","90.00","100nF"
"C50","0603C","1375mil","1450mil","1375mil","1450mil","1347.5mil","1450mil","T","180.00","1uF"
"C51","TAN-A","1250mil","1600mil","1250mil","1600mil","1250mil","1545mil","T","270.00","10uF"
"C52","0603C","2900mil","925mil","2900mil","925mil","2900mil","952.5mil","T","90.00","100nF"
"C53","0603C","2800mil","925mil","2800mil","925mil","2800mil","952.5mil","T","90.00","100nF"
"C54","0603C","3000mil","925mil","3000mil","925mil","3000mil","952.5mil","T","90.00","100nF"
"C55","0603C","3100mil","925mil","3100mil","925mil","3100mil","952.5mil","T","90.00","100nF"
"C56","0603C","3200mil","925mil","3200mil","925mil","3200mil","952.5mil","T","90.00","100nF"
"C57","0603C","2600mil","925mil","2600mil","925mil","2600mil","897.5mil","T","270.00","100nF"
"C58","0603C","2300mil","775mil","2300mil","775mil","2300mil","802.5mil","T","90.00","100nF"
"C59","0603C","2600mil","775mil","2600mil","775mil","2600mil","802.5mil","T","90.00","[N/A]"
"C6","0603C","3025mil","5475mil","3025mil","5475mil","3025mil","5502.5mil","T","90.00","100nF"
"C60","0603C","3075mil","4725mil","3075mil","4725mil","3102.5mil","4725mil","T","360.00","10nF"
"C61","0603C","3075mil","5025mil","3075mil","5025mil","3102.5mil","5025mil","T","360.00","1nF"
"C62","0603C","3225mil","4425mil","3225mil","4425mil","3252.5mil","4425mil","T","360.00","100nF"
"C63","0603C","3075mil","4325mil","3075mil","4325mil","3102.5mil","4325mil","T","360.00","100nF"
"C64","0603C","3075mil","4625mil","3075mil","4625mil","3102.5mil","4625mil","T","360.00","[N/A]"
"C65","0603C","3075mil","4825mil","3075mil","4825mil","3102.5mil","4825mil","T","360.00","[N/A]"
"C66","0603C","3075mil","4925mil","3075mil","4925mil","3102.5mil","4925mil","T","360.00","[N/A]"
"C67","0603C","1750mil","6175mil","1750mil","6175mil","1750mil","6202.5mil","T","90.00","[N/A]"
"C68","0603C","2050mil","6175mil","2050mil","6175mil","2050mil","6147.5mil","T","270.00","[N/A]"
"C69","0603C","2150mil","6175mil","2150mil","6175mil","2150mil","6147.5mil","T","270.00","[N/A]"
"C7","0603C","750mil","1575mil","750mil","1575mil","722.5mil","1575mil","T","180.00","100nF"
"C70","0603C","1850mil","6175mil","1850mil","6175mil","1850mil","6147.5mil","T","270.00","[N/A]"
"C71","0603C","2350mil","6175mil","2350mil","6175mil","2350mil","6202.5mil","T","90.00","[N/A]"
"C72","0603C","2250mil","6175mil","2250mil","6175mil","2250mil","6147.5mil","T","270.00","[N/A]"
"C73","0603C","1950mil","6175mil","1950mil","6175mil","1950mil","6202.5mil","T","90.00","10nF"
"C74","C160M","1200mil","2650mil","1200mil","2650mil","1200mil","2735mil","T","90.00","10uF"
"C75","TAN-A","1825mil","2700mil","1825mil","2700mil","1825mil","2755mil","T","90.00","10uF"
"C76","TAN-A","2725mil","4125mil","2725mil","4125mil","2725mil","4070mil","T","270.00","10uF"
"C77","0603C","850mil","2775mil","850mil","2775mil","877.5mil","2775mil","T","360.00","100nF"
"C78","0603C","3075mil","4525mil","3075mil","4525mil","3047.5mil","4525mil","T","180.00","0.47uF"
"C79","C310M","975mil","1950mil","975mil","1950mil","1100mil","1950mil","T","360.00","220uF"
"C8","0603C","2550mil","5800mil","2550mil","5800mil","2550mil","5827.5mil","T","90.00","100nF"
"C80","0603C","1625mil","2800mil","1625mil","2800mil","1597.5mil","2800mil","T","180.00","100nF"
"C81","0603C","2240mil","4300mil","2240mil","4300mil","2267.5mil","4300mil","T","360.00","10nF"
"C82","0603C","2700mil","4950mil","2700mil","4950mil","2700mil","4977.5mil","T","90.00","10nF"
"C83","0603C","2700mil","4475mil","2700mil","4475mil","2700mil","4502.5mil","T","90.00","10nF"
"C84","0603C","2060mil","5100mil","2060mil","5100mil","2032.5mil","5100mil","T","180.00","10nF"
"C85","0603C","1900mil","4465mil","1900mil","4465mil","1900mil","4437.5mil","T","270.00","10nF"
"C86","0603C","2575mil","4100mil","2575mil","4100mil","2575mil","4127.5mil","T","90.00","10nF"
"C87","0603C","2500mil","4300mil","2500mil","4300mil","2472.5mil","4300mil","T","180.00","10nF"
"C88","0603C","2350mil","2775mil","2350mil","2775mil","2350mil","2747.5mil","T","270.00","1nF"
"C89","0603C","3025mil","1275mil","3025mil","1275mil","3025mil","1247.5mil","T","270.00","100nF"
"C9","0603R","3275mil","5975mil","3275mil","5975mil","3275mil","5947.5mil","T","270.00","22pF"
"C90","0603C","2625mil","1275mil","2625mil","1275mil","2625mil","1302.5mil","T","90.00","100nF"
"C91","0603C","2000mil","1175mil","2000mil","1175mil","2000mil","1147.5mil","T","270.00","100nF"
"C92","0603C","3075mil","1875mil","3075mil","1875mil","3047.5mil","1875mil","T","180.00","100nF"
"C93","0603C","1625mil","1475mil","1625mil","1475mil","1625mil","1447.5mil","T","270.00","150pF(COG)"
"C94","0603C","1725mil","1475mil","1725mil","1475mil","1725mil","1447.5mil","T","270.00","150pF(COG)"
"C95","0603C","1975mil","1450mil","1975mil","1450mil","1947.5mil","1450mil","T","180.00","1uF"
"CN1","J0011D21B","4171.5mil","5900mil","4250mil","5675mil","4000mil","5725mil","T","270.00","J0011D21B"
"CN10","VB334","1325mil","6475mil","1325mil","6475mil","1201.969mil","6598.031mil","T","0.00","VB334"
"CN11","VB334","675mil","6475mil","675mil","6475mil","551.969mil","6598.031mil","T","0.00","VB334"
"CN12","FTSH-110-01-L-DV","3900mil","3200mil","3900mil","3200mil","3820mil","3425mil","T","270.00","FTSH-110-01-L-DV"
"CN13","IDC20S","4300mil","2950mil","4250mil","3400mil","4250mil","3400mil","T","360.00","JTAG"
"CN16","MSD(PJS008)","344.488mil","1715.551mil","375mil","1875mil","603.346mil","1816.929mil","T","180.00","PJS008-2000"
"CN17","IDC34S","2650mil","6475mil","3450mil","6525mil","3450mil","6525mil","T","270.00","MC_connector"
"CN18","DC10B","297.048mil","3246.575mil","175mil","3325mil","419.095mil","3325mil","T","0.00","DC-10B"
"CN2","USB-MICRO-AB","4366.516mil","3925mil","4305mil","3925mil","4305mil","3976.181mil","T","180.00","475900001"
